month,category,Volume
2025-02-01 00:00:00,Companies,625150
2025-08-01 00:00:00,Elections,1936913
2025-07-01 00:00:00,Sports,541708158
2026-03-01 00:00:00,Sports,9618983204.43
2025-11-01 00:00:00,Companies,6429762
2022-07-01 00:00:00,Health,256448
2022-09-01 00:00:00,Climate and Weather,1021570
2024-12-01 00:00:00,Elections,27867220
2025-07-01 00:00:00,Education,3002
2025-04-01 00:00:00,Education,530
2024-04-01 00:00:00,Companies,415126
2025-06-01 00:00:00,Financials,14864175
2022-04-01 00:00:00,Financials,552535
2023-12-01 00:00:00,World,10523
2023-09-01 00:00:00,Science and Technology,26492
2024-11-01 00:00:00,Elections,432862837
2023-09-01 00:00:00,Entertainment,265984
2024-06-01 00:00:00,World,20695
2022-06-01 00:00:00,Science and Technology,4956
2024-04-01 00:00:00,Transportation,50710
2024-10-01 00:00:00,Companies,230040
2025-04-01 00:00:00,Social,1677
2022-02-01 00:00:00,Climate and Weather,397141
2023-02-01 00:00:00,Entertainment,149589
2025-05-01 00:00:00,World,7647103
2025-04-01 00:00:00,Sports,296795472
2025-06-01 00:00:00,Crypto,37370066
2022-06-01 00:00:00,Transportation,31001
2022-09-01 00:00:00,Financials,5147004
2022-12-01 00:00:00,Science and Technology,1913
2025-07-01 00:00:00,Social,688637
2022-06-01 00:00:00,Health,203789
2023-02-01 00:00:00,Health,10840
2025-03-01 00:00:00,Economics,6548988
2025-01-01 00:00:00,World,80923
2021-07-01 00:00:00,World,67010
2023-01-01 00:00:00,Transportation,20884
2025-09-01 00:00:00,Elections,3143597
2022-12-01 00:00:00,Transportation,39682
2025-11-01 00:00:00,Transportation,220244
2023-02-01 00:00:00,Economics,1095065
2023-01-01 00:00:00,Entertainment,66266
2024-04-01 00:00:00,World,13761
2025-10-01 00:00:00,Mentions,15056193
2024-12-01 00:00:00,Companies,1191644
2026-03-01 00:00:00,World,2221397
2022-01-01 00:00:00,Economics,321011
2025-03-01 00:00:00,Climate and Weather,15674396
2025-12-01 00:00:00,Economics,42303493
2023-03-01 00:00:00,Health,4915
2023-12-01 00:00:00,Climate and Weather,508436
2024-12-01 00:00:00,Politics,63058824
2025-05-01 00:00:00,Crypto,29663778
2025-11-01 00:00:00,Crypto,128908858
2022-01-01 00:00:00,Entertainment,414203
2022-06-01 00:00:00,Entertainment,2914
2023-08-01 00:00:00,Climate and Weather,634101
2023-10-01 00:00:00,Politics,688028
2025-10-01 00:00:00,Education,671
2025-02-01 00:00:00,Social,0
2026-04-01 00:00:00,Elections,21792119.25
2022-01-01 00:00:00,Transportation,62235
2023-07-01 00:00:00,Economics,1735164
2022-04-01 00:00:00,Entertainment,145812
2023-02-01 00:00:00,Financials,2996407
2024-08-01 00:00:00,Crypto,1754792
2025-02-01 00:00:00,Entertainment,32518860
2024-06-01 00:00:00,Companies,229731
2025-09-01 00:00:00,Sports,2561537071
2025-11-01 00:00:00,Economics,26395286
2026-04-01 00:00:00,Social,2663235.9700000007
2022-07-01 00:00:00,World,29519
2025-07-01 00:00:00,Elections,1725347
2023-05-01 00:00:00,Companies,5031
2024-08-01 00:00:00,Science and Technology,78021
2025-08-01 00:00:00,Social,1353176
2022-05-01 00:00:00,Health,368540
2024-05-01 00:00:00,Politics,385651
2024-07-01 00:00:00,Transportation,113829
2025-09-01 00:00:00,Companies,2036827
2023-12-01 00:00:00,Companies,41007
2024-12-01 00:00:00,Sports,409
2023-07-01 00:00:00,Science and Technology,6154
2023-11-01 00:00:00,Science and Technology,42120
2025-10-01 00:00:00,Crypto,124973020
2025-01-01 00:00:00,Science and Technology,1441203
2022-08-01 00:00:00,Financials,6312005
2023-04-01 00:00:00,Financials,8859594
2025-07-01 00:00:00,Entertainment,10172014
2025-05-01 00:00:00,Health,90114
2025-04-01 00:00:00,Entertainment,7841298
2022-02-01 00:00:00,Politics,565950
2022-09-01 00:00:00,Health,101165
2025-06-01 00:00:00,Economics,45676702
2024-02-01 00:00:00,World,25082
2024-10-01 00:00:00,World,4587
2026-02-01 00:00:00,Sports,8439936296
2023-11-01 00:00:00,Transportation,20503
2021-12-01 00:00:00,Climate and Weather,555727
2024-12-01 00:00:00,Science and Technology,2819459
2022-10-01 00:00:00,Politics,445207
2023-12-01 00:00:00,Science and Technology,36841
2025-09-01 00:00:00,Entertainment,19791939
2021-10-01 00:00:00,Science and Technology,16154
2023-01-01 00:00:00,Science and Technology,2699
2023-01-01 00:00:00,World,3
2024-04-01 00:00:00,Economics,3915739
2025-05-01 00:00:00,Science and Technology,1618792
2025-03-01 00:00:00,Mentions,1552762
2026-04-01 00:00:00,Companies,6011504.49
2024-03-01 00:00:00,Crypto,218060
2024-10-01 00:00:00,Economics,2145825
2024-10-01 00:00:00,Politics,204072229
2025-04-01 00:00:00,Companies,1046855
2026-03-01 00:00:00,Unknown,415112169.79
2022-02-01 00:00:00,World,32568
2024-01-01 00:00:00,Climate and Weather,947189
2023-11-01 00:00:00,Companies,118412
2024-12-01 00:00:00,Entertainment,19243398
2026-01-01 00:00:00,Social,1876192
2023-05-01 00:00:00,Entertainment,0
2023-05-01 00:00:00,Transportation,5201
2024-06-01 00:00:00,Science and Technology,60759
2024-11-01 00:00:00,Transportation,1505
2021-08-01 00:00:00,Economics,115337
2025-05-01 00:00:00,Entertainment,7659045
2025-03-01 00:00:00,Politics,32953860
2024-04-01 00:00:00,Politics,254863
2025-03-01 00:00:00,Social,0
2025-08-01 00:00:00,Crypto,97474029
2025-07-01 00:00:00,Science and Technology,1665496
2026-01-01 00:00:00,Health,392392
2022-01-01 00:00:00,Climate and Weather,642955
2022-06-01 00:00:00,Climate and Weather,1105518
2023-06-01 00:00:00,Economics,1811401
2023-07-01 00:00:00,Politics,154861
2024-04-01 00:00:00,Health,21866
2024-05-01 00:00:00,Entertainment,1726101
2024-06-01 00:00:00,Crypto,2465862
