artist_name,tour_name,tour_link,venue_city,venue_name,event_date,venue_type,venue_nation
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Denver, CO",Empower Field at Mile High,2026-06-26,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Minneapolis, MN",U.S. Bank Stadium,2026-06-30,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Detroit, MI",Ford Field,2026-07-02,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Detroit, MI",Ford Field,2026-07-03,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Cleveland, OH",Huntington Bank Field,2026-07-07,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Washington, DC",Northwest Stadium,2026-07-10,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Washington, DC",Northwest Stadium,2026-07-11,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Charlotte, NC",Bank of America Stadium,2026-07-17,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"St. Louis, MO",The Dome at America’s Center,2026-07-21,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Nashville, TN",Nissan Stadium,2026-07-25,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Birmingham, AL",Protective Stadium,2026-07-28,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Syracuse, NY",JMA Wireless Dome,2026-08-01,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"East Rutherford, NJ",MetLife Stadium,2026-08-07,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"East Rutherford, NJ",MetLife Stadium,2026-08-08,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Toronto, ON",Rogers Stadium,2026-08-11,Stadium,LYV
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Toronto, ON",Rogers Stadium,2026-08-12,Stadium,LYV
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Boston, MA",Gillette Stadium,2026-08-17,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Chicago, IL",Soldier Field,2026-08-21,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"San Francisco, CA",Levi’s Stadium,2026-08-28,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Las Vegas, NV",Allegiant Stadium,2026-09-05,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Las Vegas, NV",Allegiant Stadium,2026-09-06,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Dallas, TX",AT&T Stadium,2026-09-10,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Los Angeles, CA",SoFi Stadium,2026-09-25,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Los Angeles, CA",SoFi Stadium,2026-09-26,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Glendale, AZ",State Farm Stadium,2026-09-29,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"El Paso, TX",Sun Bowl Stadium,2026-10-03,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"San Antonio, TX",Alamodome,2026-10-05,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Houston, TX",NRG Stadium,2026-10-09,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Atlanta, GA",Mercedes-Benz Stadium,2026-11-07,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Atlanta, GA",Mercedes-Benz Stadium,2026-11-08,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"New Orleans, LA",Caesars Superdome,2026-11-20,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Miami, FL",Hard Rock Stadium,2026-12-03,Stadium,FALSE
USHER & Chris Brown,The R&B Tour,https://newsroom.livenation.com/news/usher-and-chris-brown-reveal-dates-for-2026-co-headlining-stadium-tour/,"Tampa, FL",Raymond James Stadium,2026-12-11,Stadium,FALSE
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Manchester, TN",Bonnaroo Music & Arts Festival,2026-06-12,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Clarkston, MI",Pine Knob Music Theatre,2026-06-15,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Chicago, IL",United Center,2026-06-17,Arena,FALSE
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Cuyahoga Falls, OH",Blossom Music Center,2026-06-19,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Toronto, ON",RBC Amphitheatre,2026-06-21,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Boston, MA",TD Garden,2026-06-23,Arena,FALSE
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Philadelphia, PA",TD Pavilion at Highmark Mann,2026-06-26,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Columbia, MD",Merriweather Post Pavilion,2026-06-27,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Richmond, VA",Allianz Amphitheater at Riverfront,2026-07-12,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Cincinnati, OH",Riverbend Music Center,2026-07-14,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Noblesville, IN",Ruoff Music Center,2026-07-15,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Milwaukee, WI",American Family Insurance Amphitheater,2026-07-17,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Saint Paul, MN",Minnesota Yacht Club Festival,2026-07-19,Amphitheater,LYV
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Morrison, CO",Red Rocks Amphitheatre,2026-07-22,Amphitheater,FALSE
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"Morrison, CO",Red Rocks Amphitheatre,2026-07-23,Amphitheater,FALSE
The Strokes,The Strokes Confirm Global Tour,https://newsroom.livenation.com/news/the-strokes-confirm-global-tour/,"San Francisco, CA",Outside Lands Music Festival,2026-08-08,Amphitheater,LYV
