artist_name,headline,link,announcement_date,start_date,end_date,venue_name,venue_city,venue_type,venue_nation,last_tour_gross,last_tickets_sold,tour_announcement
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,The Theater at MSG,"New York, New York",Theater,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Amica Mutual Pavilion,"Providence, Rhode Island",Amphitheater,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,The Santander Arena,"Reading, Pennsylvania",Arena,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Eaglebank Arena,"Fairfax, Virginia",Arena,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Hartford HealthCare Amphitheater,"Bridgeport, Connecticut",Amphitheater,LYV,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Ovens Auditorium,"Charlotte, North Carolina",Theater,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Atlanta Coliseum,"Duluth, Georgia",Arena,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Amway Center,"Orlando, Florida",Other,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Rosemont Theatre,"Rosemont, Illinois",Theater,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Hertz Arena,"Estero, Florida",Arena,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Kaseya Center,"Miami, Florida",Arena,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Peacock Theater,"Los Angeles, California",Theater,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Smart Financial Centre at Sugar Land,"Sugar Land, Texas",Theater,FALSE,,,TRUE
Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,Exclusive: Latin Urban Star Jay Wheeler Back On The Road In 2024 With “TRAPPii Tour”,https://news.pollstar.com/2023/12/12/exclusive-latin-urban-star-jay-wheeler-back-on-the-road-in-2024-with-trappii-tour/,2023-12-12,2023-06-13,2023-10-27,Austin City Limits at Moody Center,"Austin, Texas",Arena,FALSE,,,TRUE
Legendary Mexican Rock Bands Caifanes,"Legendary Mexican Rock Bands Caifanes, Café Tacvba Announce 20-City Tour",https://news.pollstar.com/2023/12/11/legendary-mexican-rock-bands-caifanes-cafe-tacvba-announce-20-city-tour/,2023-12-11,2024-05-29,2024-06-30,Toyota Center,"Kennewick, WA",Arena,FALSE,,,TRUE
Legendary Mexican Rock Bands Caifanes,"Legendary Mexican Rock Bands Caifanes, Café Tacvba Announce 20-City Tour",https://news.pollstar.com/2023/12/11/legendary-mexican-rock-bands-caifanes-cafe-tacvba-announce-20-city-tour/,2023-12-11,2024-05-29,2024-06-30,Reno Events Center,"Reno, NV",Other,FALSE,,,TRUE
Legendary Mexican Rock Bands Caifanes,"Legendary Mexican Rock Bands Caifanes, Café Tacvba Announce 20-City Tour",https://news.pollstar.com/2023/12/11/legendary-mexican-rock-bands-caifanes-cafe-tacvba-announce-20-city-tour/,2023-12-11,2024-05-29,2024-06-30,Hollywood Bowl,"Los Angeles, CA",Amphitheater,FALSE,,,TRUE
