Source Page,Event Date,Number of Shows,Headliner,Support,Venue,City,State,Country,Market,Venue Type,Currency,Promoter,Genre,Tickets Sold,Gross USD,Event Capacity,Capacity Sold %,Min Price USD,Max Price USD,Avg Price USD,Actions
Page 2,4/10/2024,1,Sivert Høyem,Fay Wildhagen,Gruenspan,Hamburg,,Germany,,Club,Euro,FKP Scorpio Konzertproduktionen,Pop / Rock,544,18901.67,900,60%,34.73,34.73,34.75,
Page 2,4/10/2024,1,Annalisa,,Forum - Milano,Assago,,Italy,,Arena,Euro,Friends & Partners,Pop / Rock,"11,860",591375.41,"11,860",100%,42.33,70.54,49.86,
Page 2,4/10/2024,1,The Academic,Isaac Anderson,Strom,Munich,,Germany,,Club,Euro,FKP Scorpio Konzertproduktionen,Pop / Rock,450,10744.52,490,91%,23.88,23.88,23.88,
Page 2,4/10/2024,1,The Simon & Garfunkel Story,,Alte Oper Frankfurt,Frankfurt,,Germany,,Auditorium / Theatre,Euro,"FKP Scorpio Konzertproduktionen, FKP Show Creations GmbH",Tribute Acts,106,7773.43,"2,412",4%,30.95,87.58,73.33,
Page 2,4/10/2024,1,King No-One,C'mon C'mon,Altstadt Eindhoven,Eindhoven,,Netherlands,,Club,Euro,Greenhouse Talent,Pop / Rock,46,649.01,200,23%,14.11,14.11,14.11,
Page 2,4/10/2024,1,Matt Hansen,zachy,The Basement,Columbus,Ohio,United States,"Columbus, OH",Club,US DOLLAR,"(In-House Promotion), AEG Presents, PromoWest Productions",,300,5100.00,300,100%,17.00,20.00,17.00,
Page 2,4/10/2024,1,Soundos,,Vooruit,Ghent,,Belgium,,Club,Euro,Live Comedy Belgium,Comedy,649,16200.35,650,99%,24.96,24.96,24.96,
Page 2,4/10/2024,1,Stef Kamil Carlens,,De Singer,Rijkevorsel,,Belgium,,Untyped Venue,Euro,Greenhouse Talent,"Pop / Rock, World",200,4992.40,200,100%,21.71,28.22,24.96,
Page 2,4/10/2024,1,Sylosis,"Harbour, Burner",The Cathouse,Glasgow,,United Kingdom,,Club,Pound Sterling,Triple G,Pop / Rock,350,8873.24,350,100%,25.35,25.35,25.35,
Page 2,4/10/2024,1,"Michael Flatley's ""Lord Of The Dance""",,QUARTERBACK Immobilien ARENA,Leipzig,,Germany,,Arena,Euro,Semmel Concerts Entertainment GmbH,"Family Entertainment, Theatrical","2,396",164077.22,"2,835",84%,5.43,95.51,68.48,
Page 2,4/10/2024,1,Samuele Bersani,,Teatro Colosseo,Turin,,Italy,,Auditorium / Theatre,Euro,Friends & Partners,Pop / Rock,"1,488",88545.69,"1,488",100%,42.33,74.89,59.51,
Page 2,4/10/2024,1,Kelvin Jones,,Kultur & Kongresszentrum,Rosenheim,,Germany,,Untyped Venue,Euro,Semmel Concerts Entertainment GmbH,Pop / Rock,214,31093.17,"2,500",8%,44.94,44.94,145.30,
Page 2,4/10/2024,1,Milky Chance,,Showcenter Complex,San Pedro Garza Garcia,,Mexico,,Auditorium / Theatre,Pesos,"(In-House Promotion), DelKing Entertainment SA DE CV",Pop / Rock,"1,843",52707.52,"2,836",64%,30.53,70.22,28.60,
Page 2,4/10/2024,1,Duki,,Arena VFG,Guadalajara,,Mexico,,Arena,Pesos,OCESA,"Rap / HipHop, World","7,223",539121.81,"10,771",67%,37.25,201.50,74.64,
Page 2,4/10/2024,1,Connor Price,,Paradise Rock Club,Boston,Massachusetts,United States,Boston (Manchester),Club,US DOLLAR,"(In-House Promotion), Crossroads Presents",Rap / HipHop,933,27590.00,933,100%,25.00,33.00,29.57,
Page 2,4/10/2024,1,SIX60,,Aotea Centre - Kiri Te Kanawa Theatre,Auckland,,New Zealand,,Auditorium / Theatre,New Zealand,Eccles Entertainment,Pop / Rock,478,28831.69,478,100%,54.61,54.61,60.32,
Page 2,4/10/2024,1,Luka Bloom,,The River,Margaret River,,Australia,,Untyped Venue,Australian,Bohm Presents,Folk,46,2098.91,100,46%,45.63,45.63,45.63,
Page 2,4/10/2024,1,Louka,,Nochtwache,Hamburg,,Germany,,Untyped Venue,Euro,PRK DreamHaus GmbH,Pop / Rock,60,1371.83,150,40%,22.79,27.13,22.86,
Page 2,4/10/2024,1,Tex,,Ostentor Kino,Regensburg,,Germany,,Untyped Venue,Euro,PRK DreamHaus GmbH,Pop / Rock,140,2734.97,140,100%,19.54,19.54,19.54,
Page 2,4/10/2024,1,Pano,,Blue Shell,Cologne,,Germany,,Club,Euro,"All Artist Agency GmbH, Concertteam NRW Gmbh",Pop / Rock,158,3440.42,200,79%,21.71,27.13,21.77,
Page 2,4/10/2024,1,"Gatecreeper, Kruelty",,The Basement,Belconnen,,Australia,,Club,Australian,Destroy All Lines,Pop / Rock,100,3895.20,100,100%,38.95,38.95,38.95,
Page 2,4/10/2024,1,Bring Me The Horizon,,Hisense Arena,Melbourne,,Australia,,Arena,Australian,Destroy All Lines,Pop / Rock,"9,140",959479.26,"10,229",89%,102.95,118.00,104.98,
Page 2,4/10/2024,1,Martin Barre,,City Winery Nashville,Nashville,Tennessee,United States,Nashville,Club,US DOLLAR,(In-House Productions) / City Winery,Pop / Rock,142,8965.00,314,45%,50.00,70.00,63.13,
Page 2,4/10/2024,1,We The Kings,,Stay Gold,Melbourne,,Australia,,Club,Australian,Destroy All Lines,Pop / Rock,292,13904.46,450,64%,43.59,96.72,47.62,
